frequency,raw
20.00,-3.35
20.20,-3.28
20.40,-3.20
20.61,-3.12
20.81,-3.04
21.02,-2.97
21.23,-2.89
21.44,-2.81
21.66,-2.74
21.87,-2.66
22.09,-2.61
22.31,-2.56
22.54,-2.50
22.76,-2.42
22.99,-2.34
23.22,-2.26
23.45,-2.17
23.69,-2.07
23.92,-1.99
24.16,-1.91
24.40,-1.84
24.65,-1.77
24.89,-1.71
25.14,-1.64
25.39,-1.57
25.65,-1.49
25.91,-1.41
26.16,-1.32
26.43,-1.23
26.69,-1.14
26.96,-1.08
27.23,-1.01
27.50,-0.94
27.77,-0.86
28.05,-0.79
28.33,-0.72
28.62,-0.69
28.90,-0.66
29.19,-0.63
29.48,-0.58
29.78,-0.53
30.08,-0.47
30.38,-0.42
30.68,-0.37
30.99,-0.32
31.30,-0.27
31.61,-0.21
31.93,-0.15
32.24,-0.07
32.57,0.00
32.89,0.06
33.22,0.11
33.55,0.17
33.89,0.24
34.23,0.32
34.57,0.40
34.92,0.45
35.27,0.51
35.62,0.56
35.97,0.62
36.33,0.68
36.70,0.74
37.06,0.78
37.43,0.83
37.81,0.88
38.19,0.95
38.57,1.03
38.95,1.09
39.34,1.13
39.74,1.17
40.14,1.21
40.54,1.25
40.94,1.29
41.35,1.35
41.76,1.43
42.18,1.50
42.60,1.55
43.03,1.59
43.46,1.63
43.90,1.68
44.33,1.73
44.78,1.78
45.23,1.85
45.68,1.91
46.13,1.98
46.60,2.01
47.06,2.03
47.53,2.06
48.01,2.12
48.49,2.17
48.97,2.21
49.46,2.21
49.96,2.21
50.46,2.21
50.96,2.21
51.47,2.21
51.99,2.27
52.51,2.33
53.03,2.40
53.56,2.43
54.10,2.43
54.64,2.43
55.18,2.43
55.74,2.43
56.29,2.43
56.86,2.49
57.42,2.57
58.00,2.65
58.58,2.66
59.16,2.66
59.76,2.66
60.35,2.73
60.96,2.81
61.57,2.88
62.18,2.88
62.80,2.88
63.43,2.88
64.07,2.88
64.71,2.88
65.35,2.88
66.01,2.88
66.67,2.88
67.33,2.88
68.01,2.88
68.69,2.88
69.37,2.88
70.07,2.88
70.77,2.88
71.48,2.88
72.19,2.88
72.91,2.88
73.64,2.85
74.38,2.81
75.12,2.77
75.87,2.70
76.63,2.62
77.40,2.54
78.17,2.43
78.95,2.31
79.74,2.20
80.54,2.07
81.35,1.93
82.16,1.80
82.98,1.64
83.81,1.49
84.65,1.33
85.50,1.19
86.35,1.05
87.22,0.92
88.09,0.80
88.97,0.68
89.86,0.59
90.76,0.51
91.66,0.44
92.58,0.41
93.51,0.41
94.44,0.41
95.39,0.48
96.34,0.59
97.30,0.69
98.28,0.82
99.26,0.94
100.25,1.07
101.25,1.23
102.27,1.38
103.29,1.54
104.32,1.72
105.37,1.91
106.42,2.09
107.48,2.24
108.56,2.40
109.64,2.54
110.74,2.64
111.85,2.74
112.97,2.85
114.10,2.95
115.24,3.06
116.39,3.15
117.55,3.22
118.73,3.30
119.92,3.38
121.12,3.46
122.33,3.53
123.55,3.57
124.79,3.60
126.03,3.62
127.29,3.67
128.57,3.72
129.85,3.77
131.15,3.78
132.46,3.78
133.79,3.78
135.12,3.78
136.48,3.78
137.84,3.78
139.22,3.78
140.61,3.78
142.02,3.78
143.44,3.78
144.87,3.78
146.32,3.78
147.78,3.78
149.26,3.78
150.75,3.77
152.26,3.76
153.78,3.74
155.32,3.70
156.88,3.64
158.44,3.58
160.03,3.53
161.63,3.49
163.24,3.45
164.88,3.41
166.53,3.37
168.19,3.33
169.87,3.27
171.57,3.20
173.29,3.14
175.02,3.13
176.77,3.12
178.54,3.10
180.32,3.03
182.13,2.97
183.95,2.91
185.79,2.90
187.65,2.89
189.52,2.87
191.42,2.86
193.33,2.84
195.27,2.81
197.22,2.75
199.19,2.68
201.18,2.66
203.19,2.66
205.23,2.66
207.28,2.61
209.35,2.55
211.44,2.48
213.56,2.45
215.69,2.42
217.85,2.39
220.03,2.33
222.23,2.27
224.45,2.21
226.70,2.14
228.96,2.07
231.25,2.01
233.57,1.96
235.90,1.91
238.26,1.85
240.64,1.77
243.05,1.69
245.48,1.62
247.93,1.57
250.41,1.52
252.92,1.45
255.45,1.36
258.00,1.27
260.58,1.18
263.19,1.11
265.82,1.03
268.48,0.96
271.16,0.90
273.87,0.83
276.61,0.76
279.38,0.68
282.17,0.60
284.99,0.52
287.84,0.44
290.72,0.37
293.63,0.29
296.57,0.21
299.53,0.13
302.53,0.07
305.55,0.01
308.61,-0.06
311.69,-0.12
314.81,-0.19
317.96,-0.26
321.14,-0.34
324.35,-0.42
327.59,-0.49
330.87,-0.54
334.18,-0.59
337.52,-0.65
340.90,-0.73
344.30,-0.81
347.75,-0.89
351.23,-0.96
354.74,-1.04
358.28,-1.11
361.87,-1.17
365.49,-1.24
369.14,-1.30
372.83,-1.37
376.56,-1.43
380.33,-1.51
384.13,-1.59
387.97,-1.67
391.85,-1.73
395.77,-1.79
399.73,-1.85
403.72,-1.89
407.76,-1.93
411.84,-1.97
415.96,-2.01
420.12,-2.05
424.32,-2.07
428.56,-2.07
432.85,-2.07
437.18,-2.07
441.55,-2.07
445.96,-2.07
450.42,-2.07
454.93,-2.07
459.48,-2.07
464.07,-2.07
468.71,-2.07
473.40,-2.07
478.13,-2.05
482.91,-2.02
487.74,-1.99
492.62,-1.94
497.55,-1.89
502.52,-1.84
507.55,-1.84
512.62,-1.84
517.75,-1.80
522.93,-1.73
528.16,-1.67
533.44,-1.62
538.77,-1.62
544.16,-1.62
549.60,-1.62
555.10,-1.62
560.65,-1.62
566.25,-1.62
571.92,-1.62
577.64,-1.62
583.41,-1.62
589.25,-1.62
595.14,-1.62
601.09,-1.63
607.10,-1.65
613.17,-1.66
619.30,-1.72
625.50,-1.78
631.75,-1.84
638.07,-1.91
644.45,-1.97
650.89,-2.03
657.40,-2.06
663.98,-2.09
670.62,-2.12
677.32,-2.19
684.10,-2.25
690.94,-2.29
697.85,-2.29
704.83,-2.29
711.87,-2.26
718.99,-2.19
726.18,-2.11
733.44,-2.03
740.78,-1.96
748.19,-1.88
755.67,-1.80
763.23,-1.71
770.86,-1.60
778.57,-1.50
786.35,-1.40
794.22,-1.30
802.16,-1.20
810.18,-1.10
818.28,-1.00
826.46,-0.90
834.73,-0.79
843.08,-0.72
851.51,-0.64
860.02,-0.56
868.62,-0.48
877.31,-0.40
886.08,-0.34
894.94,-0.31
903.89,-0.28
912.93,-0.22
922.06,-0.15
931.28,-0.08
940.59,-0.04
950.00,-0.04
959.50,-0.04
969.09,-0.04
978.78,-0.04
988.57,-0.04
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.13
1039.00,0.15
1049.39,0.17
1059.88,0.21
1070.48,0.25
1081.19,0.29
1092.00,0.33
1102.92,0.37
1113.95,0.41
1125.09,0.46
1136.34,0.52
1147.70,0.56
1159.18,0.59
1170.77,0.61
1182.48,0.63
1194.30,0.63
1206.25,0.63
1218.31,0.63
1230.49,0.63
1242.80,0.63
1255.22,0.61
1267.78,0.59
1280.45,0.57
1293.26,0.52
1306.19,0.47
1319.25,0.42
1332.45,0.38
1345.77,0.33
1359.23,0.29
1372.82,0.22
1386.55,0.14
1400.41,0.07
1414.42,-0.06
1428.56,-0.19
1442.85,-0.32
1457.28,-0.45
1471.85,-0.58
1486.57,-0.71
1501.43,-0.82
1516.45,-0.94
1531.61,-1.04
1546.93,-1.09
1562.40,-1.14
1578.02,-1.19
1593.80,-1.23
1609.74,-1.26
1625.84,-1.26
1642.10,-1.22
1658.52,-1.19
1675.10,-1.14
1691.85,-1.09
1708.77,-1.04
1725.86,-0.92
1743.12,-0.79
1760.55,-0.66
1778.15,-0.47
1795.94,-0.26
1813.90,-0.05
1832.03,0.16
1850.36,0.37
1868.86,0.57
1887.55,0.74
1906.42,0.91
1925.49,1.06
1944.74,1.19
1964.19,1.32
1983.83,1.44
2003.67,1.53
2023.71,1.62
2043.94,1.72
2064.38,1.82
2085.03,1.93
2105.88,2.03
2126.94,2.13
2148.20,2.24
2169.69,2.33
2191.38,2.41
2213.30,2.49
2235.43,2.55
2257.78,2.62
2280.36,2.68
2303.17,2.74
2326.20,2.81
2349.46,2.87
2372.95,2.88
2396.68,2.88
2420.65,2.88
2444.86,2.88
2469.31,2.88
2494.00,2.88
2518.94,2.88
2544.13,2.88
2569.57,2.86
2595.27,2.79
2621.22,2.73
2647.43,2.65
2673.90,2.56
2700.64,2.47
2727.65,2.37
2754.93,2.25
2782.48,2.13
2810.30,2.02
2838.40,1.90
2866.79,1.79
2895.46,1.68
2924.41,1.58
2953.65,1.48
