frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.35,-6.36,-3.35,-6.36,6.01,5.65,1.73,2.66,2.66,3.00
20.20,-3.28,-6.29,-3.28,-6.29,6.01,5.68,1.78,2.74,2.74,3.01
20.40,-3.20,-6.22,-3.20,-6.22,6.01,5.70,1.83,2.81,2.81,3.02
20.61,-3.12,-6.15,-3.12,-6.15,6.00,5.72,1.89,2.87,2.87,3.03
20.81,-3.04,-6.08,-3.04,-6.08,5.98,5.73,1.95,2.93,2.93,3.03
21.02,-2.97,-6.01,-2.97,-6.01,5.95,5.74,2.00,2.98,2.98,3.04
21.23,-2.89,-5.94,-2.89,-5.94,5.92,5.74,2.06,3.03,3.03,3.05
21.44,-2.81,-5.88,-2.81,-5.88,5.88,5.74,2.13,3.07,3.07,3.07
21.66,-2.74,-5.81,-2.74,-5.81,5.83,5.73,2.19,3.09,3.09,3.07
21.87,-2.66,-5.74,-2.67,-5.75,5.77,5.71,2.25,3.11,3.10,3.08
22.09,-2.61,-5.69,-2.61,-5.70,5.71,5.69,2.32,3.10,3.10,3.08
22.31,-2.56,-5.65,-2.56,-5.65,5.64,5.67,2.39,3.08,3.09,3.09
22.54,-2.50,-5.59,-2.50,-5.59,5.57,5.63,2.46,3.07,3.08,3.09
22.76,-2.42,-5.52,-2.42,-5.52,5.50,5.60,2.53,3.08,3.08,3.10
22.99,-2.34,-5.44,-2.34,-5.44,5.43,5.55,2.61,3.09,3.09,3.10
23.22,-2.26,-5.35,-2.25,-5.36,5.35,5.51,2.68,3.09,3.10,3.10
23.45,-2.17,-5.27,-2.17,-5.27,5.27,5.46,2.76,3.11,3.11,3.11
23.69,-2.07,-5.18,-2.08,-5.18,5.19,5.40,2.84,3.12,3.12,3.11
23.92,-1.99,-5.10,-1.99,-5.10,5.11,5.34,2.92,3.12,3.12,3.10
24.16,-1.91,-5.03,-1.91,-5.03,5.04,5.27,3.00,3.12,3.13,3.11
24.40,-1.84,-4.96,-1.84,-4.96,4.97,5.21,3.08,3.13,3.13,3.12
24.65,-1.77,-4.89,-1.77,-4.90,4.89,5.14,3.17,3.12,3.12,3.12
24.89,-1.71,-4.83,-1.71,-4.83,4.82,5.06,3.25,3.12,3.12,3.12
25.14,-1.64,-4.76,-1.64,-4.76,4.75,4.98,3.33,3.11,3.11,3.12
25.39,-1.57,-4.69,-1.57,-4.69,4.68,4.91,3.42,3.11,3.11,3.12
25.65,-1.49,-4.61,-1.49,-4.61,4.60,4.82,3.50,3.11,3.11,3.12
25.91,-1.41,-4.53,-1.40,-4.53,4.52,4.74,3.59,3.12,3.12,3.12
26.16,-1.32,-4.45,-1.32,-4.44,4.44,4.66,3.67,3.13,3.13,3.13
26.43,-1.23,-4.35,-1.23,-4.36,4.36,4.57,3.75,3.14,3.13,3.13
26.69,-1.14,-4.27,-1.15,-4.28,4.28,4.48,3.83,3.14,3.13,3.13
